source plate,source well,destination well
PB16_1F,G6,I11
PB16_1F,G24,I12
PB16_1F,I1,I13
PB16_1F,J5,I14
PB16_1F,M6,I15
PB16_1F,O19,I16
PB10_2F,D11,I17
PB12_2F,A24,I18
PB12_2F,B21,I19
PB12_2F,C1,I20
PB12_2F,C10,I21
PB12_2F,D1,I22
PB12_2F,F7,I23
PB12_2F,G13,I24
PB12_2F,H7,J1
PB12_2F,H24,J2
PB12_2F,I1,J3
PB12_2F,J24,J4
PB12_2F,K20,J5
PB12_2F,N19,J6
PB12_2F,N20,J7
PB12_2F,N23,J8
PB12_2F,O16,J9
PB12_2F,P18,J10
PB10_1F,A1,J11
PB10_1F,A5,J12
PB10_1F,A8,J13
PB10_1F,A14,J14
PB10_1F,A21,J15
PB10_1F,A22,J16
PB10_1F,B10,J17
PB10_1F,B17,J18
PB10_1F,B21,J19
PB10_1F,C1,J20
PB10_1F,C6,J21
PB10_1F,C18,J22
PB10_1F,E7,J23
PB10_1F,E11,J24
PB10_1F,E16,K1
PB10_1F,E22,K2
PB10_1F,F18,K3
PB10_1F,F19,K4
PB10_1F,F22,K5
PB10_1F,G8,K6
PB10_1F,G14,K7
PB10_1F,G21,K8
PB10_1F,H3,K9
PB10_1F,H7,K10
PB10_1F,H10,K11
PB10_1F,I14,K12
PB10_1F,I17,K13
PB10_1F,J2,K14
PB10_1F,K13,K15
PB10_1F,K15,K16
PB10_1F,K19,K17
PB10_1F,K24,K18
PB10_1F,L20,K19
PB10_1F,M2,K20
PB10_1F,M6,K21
PB10_1F,M7,K22
PB10_1F,M10,K23
PB10_1F,M15,K24
PB10_1F,M18,L1
PB10_1F,N2,L2
PB10_1F,N4,L3
PB10_1F,N7,L4
PB10_1F,N11,L5
PB10_1F,N14,L6
PB10_1F,N15,L7
PB10_1F,P12,L8
PB10_1F,P14,L9
PB10_1F,P23,L10
PB11_2F,A2,L11
PB11_2F,A10,L12
PB11_2F,A19,L13
PB11_2F,B8,L14
PB11_2F,B14,L15
PB11_2F,B21,L16
PB11_2F,C5,L17
PB11_2F,C7,L18
PB11_2F,C9,L19
PB11_2F,C15,L20
PB11_2F,C17,L21
PB11_2F,C20,L22
PB11_2F,C21,L23
PB11_2F,D1,L24
PB11_2F,D16,M1
PB11_2F,E16,M2
PB11_2F,F23,M3
PB11_2F,G2,M4
PB11_2F,G13,M5
PB11_2F,G16,M6
PB11_2F,G19,M7
PB11_2F,H5,M8
PB11_2F,H12,M9
PB11_2F,H18,M10
PB11_2F,I10,M11
PB11_2F,I12,M12
PB11_2F,I15,M13
PB11_2F,I16,M14
PB11_2F,I23,M15
PB11_2F,J3,M16
PB11_2F,J11,M17
PB11_2F,J17,M18
PB11_2F,J22,M19
PB11_2F,K1,M20
PB11_2F,K2,M21
PB11_2F,K5,M22
PB11_2F,K14,M23
PB11_2F,K18,M24
PB11_2F,L3,N1
PB11_2F,L9,N2
PB11_2F,L17,N3
PB11_2F,L19,N4
PB11_2F,L23,N5
PB11_2F,M11,N6
PB11_2F,M20,N7
PB11_2F,M22,N8
PB11_2F,N3,N9
PB11_2F,N5,N10
PB11_2F,N15,N11
PB11_2F,N21,N12
PB11_2F,N22,N13
PB11_2F,O21,N14
PB11_2F,P11,N15
PB11_2F,P12,N16
PB11_2F,P23,N17
